Wall time,Step,Value
1710726589.382712,0,1.9249393939971924
1710726726.242081,1,1.5911269187927246
1710726869.867084,2,1.4929581880569458
1710727019.6284142,3,1.4864164590835571
1710727174.243055,4,1.4186536073684692
1710727317.3054626,5,1.4157050848007202
1710727459.5478354,6,1.3927563428878784
1710727603.7833586,7,1.3655260801315308
1710727757.7891014,8,1.3621643781661987
1710727900.651756,9,1.3361926078796387
1710728039.2852254,10,1.3309036493301392
1710728178.5032146,11,1.3089534044265747
1710728317.8376656,12,1.3090710639953613
1710728453.8524332,13,1.2727104425430298
1710728589.863302,14,1.2772237062454224
1710728730.2748873,15,1.2618331909179688
1710728868.2993665,16,1.2278597354888916
1710729007.380733,17,1.2435529232025146
1710729151.2111754,18,1.2385594844818115
1710729293.2337549,19,1.223088264465332
1710729428.8998058,20,1.2214953899383545
1710729562.523896,21,1.2082979679107666
1710729696.3748648,22,1.2198525667190552
1710729833.04837,23,1.2278767824172974
1710729965.7794003,24,1.1982595920562744
1710730100.452029,25,1.205009937286377
1710730235.1759138,26,1.173011302947998
1710730370.0296063,27,1.1961524486541748
1710730504.873059,28,1.181017279624939
1710730639.4582984,29,1.1676961183547974
1710730777.534462,30,1.0898663997650146
1710730914.7192087,31,1.0306305885314941
1710731046.7848556,32,0.9762471318244934
1710731182.5917807,33,0.9795570969581604
1710731318.4502306,34,0.9470285177230835
1710731451.8228214,35,0.9301296472549438
1710731588.2497003,36,0.9104319214820862
1710731724.5909033,37,0.912281334400177
1710731861.0272114,38,0.8821712136268616
1710731997.3667579,39,0.8958329558372498
